core.externalId,core.name,core.description,core.businessDescription,core.businessName,core.reference
cdmi_sql_server_marketing_to_dbx_bronze_marketing,cdmi_sql_server_marketing_to_dbx_bronze_marketing,cdmi_sql_server_retail_to_dbx_bronze_retail Database Ingestion Task,,,
cdmi_sql_server_retail_to_dbx_bronze_retail,cdmi_sql_server_retail_to_dbx_bronze_retail,cdmi_sql_server_marketing_to_dbx_bronze_marketing Database Ingestion Task,,,
ami_servicenow_to_dbx,ami_servicenow_to_dbx,ami_servicenow_to_dbx Application Ingestion Task,,,
apmi_servicenow_to_snowflake,apmi_servicenow_to_snowflake,apmi_servicenow_to_snowflake Application Ingestion Task,,,
mi_nsen_mktg_sqlsrvr_to_snowflake,mi_nsen_mktg_sqlsrvr_to_snowflake,mi_nsen_mktg_sqlsrvr_to_snowflake Database Ingestion Task,,,
mi_nsen_retail_sqlsrvr_to_snowflake,mi_nsen_retail_sqlsrvr_to_snowflake,mi_nsen_retail_sqlsrvr_to_snowflake Database Ingestion Task,,,
